,Dynamic Sharpe,60/40 Sharpe,Equal Sharpe,Dynamic Volatility,60/40 Volatility,Equal Volatility
2016-04-26,-0.8628678701407638,-0.3078535175302974,-0.4543241761425469,7.9722343313876305,9.18289865869659,6.039640737232774
2016-04-27,-0.8517009597401066,-0.21124780054851608,-0.3930806619795841,7.971140022905981,9.189806232947108,6.041242561044623
2016-04-28,-0.7963724217630909,-0.17269097782120568,-0.2866485748837156,7.952818634150832,9.167458503169389,6.0153095820914375
2016-04-29,-0.6952900384090521,-0.13889064383693114,-0.13932815628744533,7.922927033858995,9.154179819113976,5.974771187427401
2016-05-02,-0.6657609147490373,-0.14267598500714632,-0.1403860343146636,7.926964582796157,9.153888321336005,5.974770203396834
2016-05-03,-0.7146229214709092,-0.12251623703628355,-0.14811915869072395,7.9348484798078,9.151307849070921,5.974796676858586
2016-05-04,-0.7091083982763935,-0.053898300956843996,-0.09969505314309532,7.932282090620276,9.120566677352935,5.958063617970357
2016-05-05,-0.6369227730549947,0.07731607221240532,0.018400025445436747,7.912245135018112,9.07342275489848,5.930580885000813
2016-05-06,-0.6211845730284425,-0.00260024211190767,-0.003499114005486512,7.918073691554003,9.041831053021994,5.925418104709141
2016-05-09,-0.7610527057880342,-0.08234377583797248,-0.144472608876404,7.904815236877575,9.00033868614061,5.895999232575565
2016-05-10,-0.5720176672554999,0.14271226120342675,0.0731001959105888,7.896231419457435,8.936968717318166,5.857796263054435
2016-05-11,-0.596996367059773,0.11328826795514604,0.05399011105188493,7.896792112249183,8.943672460397115,5.85778281803647
2016-05-12,-0.6742557001085039,0.12955218557823547,-0.03410520811016573,7.906152856697032,8.939474202062495,5.86570872642864
2016-05-13,-0.7591398069414891,0.032416723746115726,-0.12477955568717501,7.881055635681476,8.912430629051403,5.83453449665781
2016-05-16,-0.7634158508679655,-0.0368830634530516,-0.18486023838499907,7.878970862080909,8.875201702280187,5.814683765694541
2016-05-17,-0.7873435304704147,-0.0374331831642724,-0.18969059211841233,7.888223653464524,8.875482713361757,5.816188843594439
2016-05-18,-0.7981786946721292,-0.057650022837445164,-0.21350147264239724,7.894253502844692,8.885253659923123,5.830108087265826
2016-05-19,-0.8420270425054673,-0.06449512684384999,-0.24445284130242145,7.897270928555979,8.885383899321656,5.830243284900088
2016-05-20,-0.8409399738435757,-0.10090474234568568,-0.26540451101110896,7.897719071165753,8.86515176430558,5.823099236166731
2016-05-23,-0.8433562714054326,-0.0857901601955307,-0.2541736880650798,7.897991769359544,8.864051960790354,5.822091914741741
2016-05-24,-0.7782858278893057,-0.022061063685462404,-0.1906474156563108,7.900289326143857,8.883100714985375,5.818526476567032
2016-05-25,-0.8058273584831652,-0.06767299802705262,-0.2473190511526093,7.890795386665577,8.862904447057373,5.802878845330296
2016-05-26,-0.7900071252286651,-0.02373117056809248,-0.21302761252649494,7.891060324601875,8.863558197038875,5.804050608176035
2016-05-27,-0.7790278126862672,0.0309701790808907,-0.19655899503179877,7.890065474985078,8.860293443740987,5.8023074071492635
2016-05-31,-0.7333501385512157,0.06388993462304796,-0.1415244806729242,7.890021104425206,8.854281775445124,5.800031334899976
2016-06-01,-0.6919133446890451,0.16662220542309805,-0.0686298260729028,7.882307036073971,8.834906313748721,5.788538501126774
2016-06-02,-0.6266082151678283,0.2752886903490387,0.04830205717863364,7.870409477707402,8.83124898546373,5.774198081930994
2016-06-03,-0.4708245448514982,0.317768438188297,0.19103989985024364,7.947213864095868,8.8385802168525,5.818895141770648
2016-06-06,-0.3944772314492066,0.3865236772409738,0.2740506095282213,7.9321989107205155,8.816660690901385,5.7957549315359636
2016-06-07,-0.3728304253663111,0.45561565455952246,0.3168608540783534,7.929441577523444,8.80683518724699,5.791138434965901
2016-06-08,-0.2625298742178843,0.5390847997873476,0.42454403880159247,7.955785455394894,8.807498900163829,5.802233322376332
2016-06-09,-0.2833017934773865,0.5179982574241824,0.3951956989393494,7.950348927945698,8.802449081554524,5.795030093124663
2016-06-10,-0.3673440395415164,0.360449218666321,0.2896209063684993,7.938085532724207,8.75546195635864,5.778807492567119
2016-06-13,-0.3304469612262254,0.38070015936830925,0.3330079527637259,7.932832463746055,8.747412802925645,5.770943889804346
2016-06-14,-0.329021054467366,0.38595514578606216,0.32893965367107164,7.932823278019953,8.746368613280021,5.77111397828792
2016-06-15,-0.3364591842395037,0.32156164407815907,0.30583815194652714,7.930708756203296,8.724965679869099,5.765699138675089
2016-06-16,-0.3748708611336532,0.3885776188065908,0.30050830742748735,7.93517594796357,8.728440182056673,5.7656755021291115
2016-06-17,-0.43429491550848404,0.2855489090193153,0.17243366803837504,7.917457593697563,8.733858143589194,5.746978594150009
2016-06-20,-0.4598731912047697,0.25260371559131933,0.12569060357822404,7.917035669989722,8.731400218689176,5.748575392704238
2016-06-21,-0.48087367456405505,0.31080127069476166,0.15284046247757424,7.929967118586399,8.714483229801443,5.736540837686682
2016-06-22,-0.4530528159183137,0.32997704005428774,0.1961454371013464,7.926300712871405,8.71176075873498,5.73063417322299
2016-06-23,-0.4249670069721493,0.3768689829171716,0.21652367053260718,7.927914751126713,8.715683984533914,5.730354333592346
2016-06-24,-0.32241073874101844,0.2815112542196324,0.2876503277649615,7.947225137402573,8.786064860583096,5.728343542929911
2016-06-27,-0.3185412405273146,0.32360972064677707,0.3571419382672411,7.945787210970716,8.773218613039061,5.714468412753729
2016-06-28,-0.26935394153646175,0.4774521861172154,0.44953965364058257,7.953990933641339,8.841717408559461,5.735499605870331
2016-06-29,-0.15465407118468924,0.5729427412709398,0.5551629193769569,7.985232054407546,8.865234309869573,5.7470052558203495
2016-06-30,-0.049213334692275575,0.6848859798918872,0.6786391812204909,8.015453546852385,8.912673077812954,5.774019857187117
2016-07-01,-0.010814407037442849,0.7504295582874142,0.7705434911690924,8.024496317373375,8.935372665789425,5.806924885915326
2016-07-05,-0.06544396732304562,0.6957732535585178,0.7431121041294931,8.016145879862734,8.920077705672607,5.79921280445637
2016-07-06,-0.03147733179405816,0.6606232210643495,0.777482118349644,8.025389814825349,8.899934356984538,5.806999633653785
2016-07-07,0.006625078940209494,0.7338752389487204,0.8206018900221718,8.019240841315527,8.871687525923477,5.79813191764271
2016-07-08,0.1631916056779694,0.9399302638794456,1.0149391104873398,8.052802126386748,8.914081000637282,5.826437883122567
2016-07-11,0.14940763990717157,0.9114050000783477,0.9554606526573882,8.052714464569108,8.915890293967276,5.83378852492579
2016-07-12,0.10337987425799115,0.8266602861629528,0.8250284665270744,8.048625623047501,8.906763006854105,5.848834340422582
2016-07-13,0.08227502544156166,0.8341712183237098,0.8403280623680934,8.045335921447535,8.909737027900272,5.8531519644897525
2016-07-14,0.0732195537601669,0.7610023594673183,0.7684902911974753,8.044285667374934,8.907464519055386,5.8583362779248755
2016-07-15,-0.00764154480662484,0.6296186499729386,0.6429360186899373,8.039019790800442,8.890944202457794,5.857495615434786
2016-07-18,0.005013367141588475,0.6147630849178838,0.6426822376655766,8.041651570251954,8.88864760954334,5.85745924495642
2016-07-19,0.06376927195732598,0.6487778134820512,0.7467939737977508,8.02469469710855,8.887794839298403,5.832792094712345
2016-07-20,0.09374118115762038,0.6545945459975481,0.7259403201882265,8.028058767373377,8.887592942249956,5.834521406821612
2016-07-21,0.12779939982296865,0.6222535219492831,0.7982692417809677,8.02563582031855,8.88892722272902,5.833730033997693
2016-07-22,0.13576961295753956,0.6423285402398755,0.7954298496975205,8.026091565429708,8.893201771313281,5.833723326132026
2016-07-25,0.13328545216272017,0.6811125994491899,0.7809121935824812,8.02645233040071,8.878133855706817,5.836427445907265
2016-07-26,0.16620979109304848,0.7068694451065868,0.8315184282290988,8.024922878669637,8.876512311404628,5.83413071363519
2016-07-27,0.20526110101945608,0.7059518826444797,0.9046813453321143,8.038165268652563,8.876136792265212,5.864547430134949
2016-07-28,0.20705912957175462,0.6760483918474363,0.8866377180780531,8.038339230327685,8.873456789136434,5.864156019853916
2016-07-29,0.2383222425037918,0.6878508925721346,0.9488780184725284,8.044082296271759,8.877533367557525,5.8791358745211415
2016-08-01,0.2061847743615653,0.6092126117646267,0.874739361534809,8.03936094997073,8.891540998578746,5.875989430068659
2016-08-02,0.15196847162393834,0.4928649585630736,0.8208961651474153,8.052817714284934,8.929006748402882,5.886478370299477
2016-08-03,0.2079273347480616,0.5645834792809349,0.8764085659948163,8.048798653202102,8.918058641695954,5.878251993646123
2016-08-04,0.24229332042218732,0.616629092705937,0.9329923994672923,8.05050794740289,8.922940154711432,5.881987397152645
2016-08-05,0.2825730882935769,0.6403278782349751,0.90052989855975,8.05110022539125,8.921220460761216,5.889904744217144
2016-08-08,0.2409414594315347,0.5997632109814816,0.8519009684492683,8.04811057571335,8.913589821255039,5.885838729237362
2016-08-09,0.23298560690934292,0.6189331185985512,0.8613466018419642,8.046219639746276,8.919536873729223,5.888647384087684
2016-08-10,0.21616747204488604,0.6099011315838402,0.8609717263715884,8.045847873215669,8.91946070858282,5.8886185972568565
2016-08-11,0.19372476670349453,0.6174066170604398,0.7885331625535501,8.043607713063123,8.918332770116164,5.891175798150037
2016-08-12,0.24870519030758217,0.6720339386983442,0.8694911801179648,8.03810067657866,8.918389860610484,5.8833410416987375
2016-08-15,0.2474977224533811,0.6140352956219932,0.8468793993928639,8.038015663669478,8.917556041740282,5.88342645575414
2016-08-16,0.15794996950948106,0.5096404469818577,0.7518129197030153,8.037378397274368,8.916190515798734,5.876431964215956
2016-08-17,0.213368167237527,0.6047577283234022,0.8360264933271432,8.032000016094743,8.90626177768613,5.869144826766241
2016-08-18,0.19574627244611717,0.6362383358869648,0.8239255658681973,8.029017293843104,8.906877385364968,5.8667771773662665
2016-08-19,0.2151427846958275,0.7029686609663941,0.8219943182465306,8.023786082971563,8.867171278755219,5.867451704074262
2016-08-22,0.35776429001932114,0.9522512833924873,1.040201140221543,7.956120360080944,8.695228056986066,5.77321461347526
2016-08-23,0.5585470115721352,1.3328182488154459,1.3464602886304395,7.820536696945672,8.281258048706643,5.5813713195630585
2016-08-24,0.6267218130934515,1.4677323567266845,1.4324351579901637,7.780178176079457,8.171390843068153,5.531260630513275
2016-08-25,0.512119222792637,1.281821047707692,1.2749652216427334,7.7458243062236924,8.05045305954438,5.485519095027834
2016-08-26,0.38994082626697474,1.0696819467779748,1.095126504222597,7.7052066405521344,7.930984341305885,5.433270037379446
2016-08-29,0.40072068313129683,1.1531247990589504,1.1378159060103807,7.707453885067279,7.968613918979692,5.4457412297543675
2016-08-30,0.4455126114943499,1.2272014240044407,1.1726925764797949,7.6921422875929135,7.929082835300403,5.43161126591492
2016-08-31,0.5332730322086623,1.4348062768474596,1.3125784492663346,7.651105006381706,7.769625209300439,5.371133689791734
2016-09-01,0.4884893204724952,1.3460004026539811,1.2538051136145767,7.637493822215231,7.73570655298431,5.352728845442387
2016-09-02,0.5049458153856415,1.3080394133037268,1.288921899382397,7.636889584934425,7.734429363981464,5.35210690102794
2016-09-06,0.6150491487273625,1.4427507904476997,1.459723188730818,7.64664086834812,7.721389258413848,5.374294534603898
2016-09-07,0.5474956373259741,1.3302141477347742,1.3527665857282423,7.62878953439467,7.676324445866249,5.350944574998672
2016-09-08,0.5438149098958762,1.326470576499655,1.356811715153675,7.63089242465313,7.678626583496545,5.348883602263358
2016-09-09,0.2773841303083238,1.0040474445245173,1.0502686512953598,7.8482609127200575,7.980526280160238,5.5140463980493095
2016-09-12,0.3686788775564032,1.0444030189581293,1.0930460079612534,7.9075931458575415,8.009308922321416,5.531440545046164
2016-09-13,0.2680959502561016,0.8862454417736773,0.9577050643640811,7.955395279282727,8.123857740596927,5.5880130399061585
2016-09-14,0.31980255191728774,0.8943807491638708,1.016415395911682,7.958260688938715,8.123529638469618,5.588036339423298
2016-09-15,0.36798892853051063,0.9011109145968396,0.9948938694500655,7.985939352297555,8.125991241034667,5.581503498652811
2016-09-16,0.3086099735922567,0.8696277304844748,0.9112419865470378,7.9708584665967255,8.120336874243753,5.560804037685414
2016-09-19,0.2807936147699246,0.9024824356738408,0.8981763736752433,7.97601544777539,8.110968129486677,5.562373898932823
2016-09-20,0.3450535371864161,0.9640364601067678,0.9853685006907482,7.968588604129591,8.101937218203298,5.54997777341076
2016-09-21,0.46972679424775676,1.1083385927360376,1.1604828943344347,7.99568480914365,8.152093828612683,5.588131164440658
2016-09-22,0.5418078574421529,1.2020971278974766,1.2335318067778525,8.016954676760314,8.17587208342352,5.603259483738345
2016-09-23,0.4501778865815043,1.1489399184943119,1.1347971667503087,8.019322223167459,8.186783209235799,5.598155152851335
2016-09-26,0.4633665779005475,1.1654026988330821,1.195928787597481,8.013839820602422,8.181239162045866,5.579364154920771
2016-09-27,0.6359578153063364,1.3545176159201775,1.39164742687327,8.001140449260063,8.153767489940831,5.531252296852602
2016-09-28,0.6536590765478858,1.362004523310895,1.3999159166440651,8.001172333940847,8.15468395073013,5.53078866774478
2016-09-29,0.5443272201430943,1.1938042163587477,1.2759329796221852,8.00218402239289,8.118760885857588,5.5220370751036825
2016-09-30,0.5547599537321595,1.1655465505752907,1.240965944157513,8.00421404388899,8.114248260864175,5.520570675820412
2016-10-03,0.3941772046808389,1.0001666646713272,1.0245612186556408,7.937575174406135,8.048364541781345,5.424945683514045
2016-10-04,0.31042010671728776,0.8370258173723487,0.7985617579238603,7.953549751605847,8.076928535490834,5.519070233027463
2016-10-05,0.30486017851503405,0.8509092351725666,0.7710412074280808,7.95306906114448,8.076639922179393,5.518395691356775
2016-10-06,0.2696246395616682,0.7845782657880468,0.6992959366245243,7.954995765334575,8.073617799164436,5.526681175940205
2016-10-07,0.2632114321865578,0.7371393892938134,0.7021189927242744,7.95567957353894,8.074970427245502,5.526455610252197
2016-10-10,0.23806520595867386,0.7290692027514448,0.6491676084885852,7.948658533339444,8.07441233285466,5.514466530512483
2016-10-11,0.08790240169634274,0.5758643724389627,0.4871060943442708,7.995884276796595,8.117029046021225,5.5413600679530814
2016-10-12,0.09832562860330328,0.6292600173035909,0.5110171459899435,7.995270139337482,8.110023040044336,5.540346188934795
2016-10-13,0.03142409357440046,0.61605289890016,0.4379288915296038,7.984826052139649,8.11040919341497,5.524754299157201
2016-10-14,-0.040817671016370384,0.4622919853378388,0.318871406841983,7.9850837693881624,8.10127095828833,5.530886302297539
2016-10-17,-0.04301641947746936,0.43297487082121305,0.334475145147942,7.9851117859941825,8.09726181979555,5.531370046211531
2016-10-18,0.03365619425541921,0.5043598793355344,0.41669030523942163,8.006421524072723,8.110370499902317,5.547490068872625
2016-10-19,0.06341756227296232,0.5684703264905931,0.47659780466202367,8.004323919674306,8.10407788921582,5.545577418856657
2016-10-20,0.0689809843931143,0.5570738753872956,0.4800796270210448,8.003642405242317,8.104738759999291,5.545082739818614
2016-10-21,0.014707430162311744,0.4392186755615291,0.3868184814400586,7.98039038425692,8.03754034457515,5.509450053116041
2016-10-24,0.030314251619475274,0.41069780313452736,0.345469418960641,7.986794857901574,8.032733200054052,5.500049228531516
2016-10-25,-0.0012442415185251847,0.3840645690754566,0.3354052006037102,7.987731591675202,8.033205827706405,5.499423301574622
2016-10-26,-0.08161389996102594,0.33682817315443553,0.23944644685103367,8.004533609162996,8.044070646521112,5.514330897641052
2016-10-27,-0.14861709769956877,0.19789303626327134,0.1769319429170653,8.022458338546933,8.053101477411625,5.5252767774776474
2016-10-28,-0.12191193943108161,0.249527714996388,0.2630988832010285,8.009441330317097,8.027832830065396,5.4941890979684525
2016-10-31,-0.10345592521278778,0.2750423433065765,0.3020432170711257,8.009607191192316,8.030926267790258,5.49546128413269
2016-11-01,-0.1762899098643038,0.1562135886749951,0.2514842106659307,8.021627777289181,8.028376137049367,5.496498093982181
2016-11-02,-0.1764692770536051,0.15209753789683633,0.31512317737914053,8.021688861102161,8.029170232097691,5.485443238211108
2016-11-03,-0.22162238151397382,0.09611295816106782,0.3028779244084839,8.040731379161882,8.05038118105409,5.488815821929787
2016-11-04,-0.20342958339474124,0.15276945444004594,0.35945234343781146,8.038817971695584,8.05280685040635,5.486724181276599
2016-11-07,0.020932212767975494,0.34888169252197915,0.5178568742387682,8.099963121681654,8.082253230847888,5.452837991099037
2016-11-08,0.10167729340687107,0.46201135681131356,0.5898099291327809,8.091525896955659,8.041052645173547,5.435244496589497
2016-11-09,0.05269109971256752,0.2903937323512807,0.4366108990416008,8.099722328298233,8.117077266327309,5.491893870420318
2016-11-10,-0.05284130130390867,0.2747793351262579,0.31555107032919516,8.166938076821623,8.123386152444121,5.554735018046963
2016-11-11,-0.047744450162969784,0.31089324915289884,0.2725387072260056,8.165441728045968,8.10442641800495,5.573211798132517
2016-11-14,-0.08139030845691522,0.34303720377135954,0.2493412815907522,8.183942879762256,8.09336485067554,5.584108044405931
2016-11-15,-0.03870437790136569,0.3184407162610069,0.2617716253692125,8.212965520834729,8.074525161252911,5.590946068037388
2016-11-16,0.02577563571746672,0.3459852057150942,0.3311252291342104,8.215751479194612,8.077532513419362,5.588506673391008
2016-11-17,-0.03062440272193396,0.18470702112654813,0.1857969037515056,8.19493251623572,8.020702811069212,5.5613294307869126
2016-11-18,-0.11651551827003834,0.1268140967607348,0.05952154763793299,8.19859429001835,8.022960408720072,5.567200058379174
2016-11-21,-0.03742048599162099,0.18313471222983957,0.12912516931168858,8.225076547140066,8.040152215539148,5.58128460258531
2016-11-22,0.001142197625816777,0.18934635750734827,0.16759107941486387,8.225560313334633,8.040508338792945,5.579634888527887
2016-11-23,-0.06389915926228541,0.16446398926156533,0.04924054799303965,8.23537238277501,8.041617694636496,5.605114892157775
2016-11-25,-0.04034009153110119,0.1890126472132548,0.05728810677603693,8.236958688627052,8.045613473747576,5.605032334026527
2016-11-28,-0.017477623722145525,0.18679045013095608,0.13173884947893288,8.235313311372456,8.045617338601302,5.608021310868324
2016-11-29,0.0022863915854154783,0.23334649013902006,0.13825112595996944,8.23789991337717,8.049078410075966,5.608440557972879
2016-11-30,-0.216308365901819,-0.0031595238993917464,-0.13983149378623974,8.256524973775509,8.017009319739264,5.634301700804643
2016-12-01,-0.2776436900792784,-0.008531577552818989,-0.14703899087551897,8.3033687930593,8.020460895444513,5.638888165275783
2016-12-02,-0.07193568141717284,0.2830489220671847,0.0890630781500405,8.170343059708232,7.780007304317849,5.559966182286418
2016-12-05,-0.19045738544704854,0.13207857377621543,-0.12452500655869521,8.06060526459033,7.641765378301183,5.413559772455521
2016-12-06,-0.15647921889928165,0.150104720449013,-0.07874827617275072,8.06228822306985,7.643042363070701,5.410262131960969
2016-12-07,-0.017956804274908006,0.34395634536779035,0.060671967473260736,8.125209612717404,7.7107865656676005,5.451539962569469
2016-12-08,0.07223415071224333,0.3682640406931068,0.09255827272792995,8.094622818775294,7.700115220764453,5.440852215201455
2016-12-09,0.0908662670673601,0.3232683258468461,0.03352980750546019,8.099200019448386,7.699777454239437,5.446671490981956
